Store,Item,Required,Assigned
A,1,47,47
A,2,29,29
A,3,50,50
A,4,12,12
A,5,19,19
A,6,72,0
A,7,71,13
A,8,2,0
A,10,40,40
B,2,46,46
B,3,36,36
B,4,7,7
B,5,48,48
B,6,71,71
B,7,19,19
B,10,4,4
C,1,34,34
C,2,52,52
C,3,66,66
C,4,17,17
C,6,3,2
C,7,57,57
C,8,77,64
C,10,13,13
D,2,1,1
D,3,76,76
D,4,46,46
D,6,21,21
D,7,40,40
D,10,41,41
E,1,44,44
E,2,14,14
E,5,75,75
E,6,32,32
E,7,14,14
E,8,76,76
E,10,42,42
F,1,71,71
F,2,28,28
F,3,46,46
F,4,54,54
F,5,9,9
F,6,52,52
F,7,43,43
F,8,33,33
F,9,59,59
F,10,16,16
G,1,60,60
G,2,2,2
G,3,51,51
G,4,66,66
G,5,47,47
G,6,28,28
G,7,66,66
G,9,30,0
G,10,55,55
H,1,11,11
H,2,69,69
H,3,5,5
H,4,41,41
H,5,54,54
H,7,28,28
H,8,57,57
H,9,17,17
H,10,36,36
I,2,6,6
I,4,73,73
I,5,43,43
I,6,3,3
I,7,70,70
I,8,70,70
I,9,16,0
I,10,17,17
J,1,71,71
J,2,35,35
J,4,5,5
J,5,79,79
J,6,9,9
J,7,38,38
J,9,55,21
J,10,72,72
K,1,44,44
K,2,13,13
K,3,63,63
K,4,73,73
K,6,62,62
K,7,61,61
K,8,20,20
K,10,25,25
L,1,26,26
L,3,10,10
L,4,35,35
L,5,62,62
L,6,16,16
L,7,73,73
L,8,35,35
L,9,78,78
L,10,33,33
M,2,12,12
M,3,23,23
M,4,55,55
M,5,46,46
M,6,9,9
M,7,4,4
M,8,8,8
M,9,76,76
M,10,60,60
N,2,9,9
N,4,29,29
N,5,12,12
N,6,4,4
N,7,36,36
N,8,3,3
N,10,8,8
O,1,15,15
O,2,35,35
O,5,30,30
O,6,43,43
O,8,78,78
O,9,48,48
O,10,64,64
P,2,60,60
P,3,33,33
P,4,5,5
P,5,9,9
P,6,27,27
P,7,62,62
P,8,71,71
P,9,30,30
P,10,50,50
Q,2,22,22
Q,3,32,32
Q,4,11,11
Q,5,4,4
Q,6,46,46
Q,7,69,69
Q,8,46,46
Q,9,12,12
Q,10,53,53
R,2,76,76
R,3,15,15
R,4,13,13
R,5,69,69
R,6,41,41
R,7,49,49
R,8,50,50
R,10,9,9
S,1,23,23
S,2,9,9
S,4,27,27
S,5,31,31
S,6,31,31
S,7,17,17
S,8,69,69
S,9,53,53
S,10,21,21
T,1,19,19
T,2,66,66
T,3,76,76
T,4,56,56
T,5,78,78
T,6,53,53
T,7,62,62
T,8,2,2
T,9,12,12
U,1,71,71
U,2,54,54
U,4,3,3
U,5,54,54
U,6,3,3
U,7,48,48
U,8,6,6
V,1,65,65
V,2,30,30
V,3,4,4
V,4,12,12
V,5,50,50
V,7,37,37
V,8,10,10
V,9,76,76
W,1,76,76
W,2,68,68
W,3,10,10
W,4,48,48
W,5,65,65
W,7,60,60
W,8,15,15
W,9,31,31
X,1,8,8
X,2,49,49
X,3,57,57
X,4,23,23
X,5,25,25
X,7,39,39
X,8,45,45
X,9,68,68
Y,1,6,6
Y,2,47,47
Y,4,1,1
Y,5,26,26
Y,6,64,64
Y,7,33,33
Y,8,41,41
Y,9,33,33
Y,10,7,7
Z,1,60,60
Z,2,25,25
Z,3,39,39
Z,4,45,45
Z,5,75,75
Z,6,18,18
Z,7,18,18
Z,8,25,25
Z,9,2,2
Z,10,10,10
